frame,timestamp_video,timestamp_pupildata,x,y,a,b,p,w,h
19, 629774.305486, 629774.305486, 80.773148, 66.577332, 23.408100, 26.793547, 4.954845, 23.435166, 26.769877
20, 629774.309229, 629774.309229, 81.037132, 66.659561, 23.354050, 27.038853, 0.431440, 23.354275, 27.038658
21, 629774.313220, 629774.313220, 81.045845, 66.767548, 23.445341, 26.700651, 1.457602, 23.447593, 26.698673
22, 629774.321232, 629774.321232, 81.090668, 66.835670, 23.453011, 26.957739, 0.541357, 23.453347, 26.957446
23, 629774.327684, 629774.327684, 81.237328, 66.941040, 23.382973, 26.688393, 1.203081, 23.384533, 26.687026
24, 629774.330368, 629774.330368, 81.490303, 67.054832, 23.312008, 26.851381, 177.916718, 23.317040, 26.847012
25, 629774.333318, 629774.333318, 81.644928, 67.051506, 23.368656, 26.732534, 0.488200, 23.368918, 26.732305
26, 629774.342175, 629774.342175, 81.748215, 67.060616, 23.321232, 26.645420, 178.829407, 23.322718, 26.644119
27, 629774.346032, 629774.346032, 81.794388, 67.185913, 23.236071, 27.006426, 179.158325, 23.236951, 27.005669
28, 629774.349273, 629774.349273, 81.952370, 67.240860, 23.407482, 26.861584, 0.023662, 23.407483, 26.861583
29, 629774.353254, 629774.353254, 82.121040, 67.383438, 23.406181, 26.865845, 178.551865, 23.408554, 26.863778
30, 629774.361287, 629774.361287, 82.377739, 67.506233, 23.446802, 26.740650, 178.489197, 23.449252, 26.738501
31, 629774.434174, 629774.434174, 85.011200, 68.931282, 23.544985, 26.307631, 174.315552, 23.573662, 26.281938
32, 629774.441352, 629774.441352, 85.120209, 69.114105, 23.765585, 26.623480, 171.114594, 23.837757, 26.558879
33, 629774.445249, 629774.445249, 85.553215, 69.083405, 24.256603, 26.565960, 172.464020, 24.298179, 26.527938
34, 629774.450505, 629774.450505, 85.528809, 69.196007, 23.703762, 26.647104, 172.660950, 23.754718, 26.601689
35, 629774.459486, 629774.459486, 85.892990, 69.309448, 23.808296, 26.606558, 174.577820, 23.834735, 26.582875
36, 629774.463300, 629774.463300, 86.077797, 69.378685, 23.921700, 26.457487, 174.650192, 23.944901, 26.436491
37, 629774.465654, 629774.465654, 86.439751, 69.644318, 23.951664, 26.680117, 173.203690, 23.992017, 26.643836
38, 629774.469277, 629774.469277, 86.571533, 69.755707, 24.007732, 26.331017, 171.915405, 24.055858, 26.287057
39, 629774.477290, 629774.477290, 87.036591, 69.964203, 24.144314, 26.242689, 172.561859, 24.180981, 26.208907
40, 629774.481222, 629774.481222, 87.277168, 69.904572, 24.085306, 26.402315, 171.638367, 24.136606, 26.355425
41, 629774.485247, 629774.485247, 87.616699, 70.053825, 23.901407, 26.231009, 175.884125, 23.913989, 26.219538
42, 629774.489357, 629774.489357, 88.140366, 70.226715, 24.312616, 26.319187, 170.126343, 24.373975, 26.262373
43, 629774.497263, 629774.497263, 88.417084, 70.461395, 24.225840, 26.530373, 169.370682, 24.307839, 26.455264
44, 629774.501461, 629774.501461, 88.956635, 70.799957, 24.145552, 26.268950, 167.244400, 24.253377, 26.169431
45, 629774.505210, 629774.505210, 89.597939, 70.970436, 24.612844, 26.306948, 164.985550, 24.730174, 26.196681
46, 629774.509240, 629774.509240, 90.100891, 71.191689, 24.318655, 26.156996, 165.676834, 24.435139, 26.048213
47, 629774.517204, 629774.517204, 89.620270, 71.542961, 24.272907, 26.263077, 174.944107, 24.288992, 26.248202
48, 629774.521213, 629774.521213, 89.702011, 72.123428, 24.099552, 28.261114, 129.205475, 26.676333, 25.842837
49, 629774.526958, 629774.526958, 89.262367, 72.085869, 22.728378, 29.538973, 108.926598, 28.898099, 23.537841
50, 629774.529483, 629774.529483, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
51, 629774.537217, 629774.537217, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
52, 629774.542624, 629774.542624, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
53, 629774.548276, 629774.548276, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
54, 629774.552515, 629774.552515, 178.781906, 43.911537, 4.566920, 11.170636, 22.017309, 5.955046, 10.496537
55, 629774.557246, 629774.557246, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
56, 629774.562237, 629774.562237, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
57, 629774.566126, 629774.566126, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
58, 629774.569888, 629774.569888, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
59, 629774.577268, 629774.577268, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
60, 629774.583518, 629774.583518, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
61, 629774.587990, 629774.587990, 166.087448, 23.393654, 26.289919, 44.822227, 177.068054, 26.355413, 44.783748
62, 629774.593303, 629774.593303, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
63, 629774.597664, 629774.597664, 157.979446, 55.495880, 13.135899, 17.022823, 32.670929, 14.377445, 15.988040
64, 629774.601775, 629774.601775, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
65, 629774.607230, 629774.607230, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
66, 629774.611945, 629774.611945, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
67, 629774.617227, 629774.617227, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
68, 629774.623669, 629774.623669, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
69, 629774.630306, 629774.630306, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
70, 629774.637218, 629774.637218, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
71, 629774.645687, 629774.645687, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
72, 629774.651216, 629774.651216, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
73, 629774.657214, 629774.657214, 45.939301, 24.051128, 49.523705, 70.778191, 123.587494, 65.015531, 56.878207
74, 629774.665501, 629774.665501, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
75, 629774.671350, 629774.671350, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
76, 629774.677252, 629774.677252, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
77, 629774.684614, 629774.684614, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
78, 629774.693446, 629774.693446, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
79, 629774.699237, 629774.699237, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
80, 629774.707268, 629774.707268, 167.835999, 29.447918, 41.737522, 52.043350, 5.418630, 41.840642, 51.960482
81, 629774.717608, 629774.717608, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
82, 629774.726959, 629774.726959, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
83, 629774.734758, 629774.734758, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
84, 629774.741147, 629774.741147, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
85, 629774.748867, 629774.748867, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
86, 629774.755600, 629774.755600, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
87, 629774.762916, 629774.762916, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
88, 629774.771529, 629774.771529, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
89, 629774.778401, 629774.778401, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
90, 629774.786211, 629774.786211, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
91, 629774.792882, 629774.792882, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
92, 629774.798132, 629774.798132, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
93, 629774.805836, 629774.805836, 179.787170, 77.284218, 10.529282, 25.095974, 104.637619, 24.426798, 12.000219
94, 629774.813891, 629774.813891, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
95, 629774.818708, 629774.818708, 32.661774, 67.569351, 20.906799, 28.116205, 155.004013, 22.365140, 26.970646
96, 629774.823229, 629774.823229, 32.415672, 68.108681, 21.237595, 29.190088, 159.307114, 22.385452, 28.319396
97, 629774.829617, 629774.829617, 0.000000, 0.000000, 0.000000, 0.000000, -90.000000, 0.000000, 0.000000
98, 629774.837372, 629774.837372, 69.483658, 88.899620, 15.285833, 21.694761, 146.040878, 17.538841, 19.917540
99, 629774.841725, 629774.841725, 69.976196, 89.561188, 15.510738, 23.184744, 149.463898, 17.811216, 21.468021
100, 629774.847916, 629774.847916, 70.271500, 89.827896, 15.791233, 24.013348, 152.075806, 17.920312, 22.469231
101, 629774.850911, 629774.850911, 70.499886, 89.844360, 15.979486, 23.906055, 149.131653, 18.400219, 22.096954
102, 629774.858616, 629774.858616, 70.787933, 90.014351, 16.135584, 24.394308, 152.918167, 18.158567, 22.928274
103, 629774.861569, 629774.861569, 70.983391, 89.845596, 16.130800, 24.274204, 152.354538, 18.194565, 22.768344
104, 629774.865206, 629774.865206, 71.106674, 89.852173, 16.347534, 24.306828, 151.643723, 18.445463, 22.755849
105, 629774.869220, 629774.869220, 71.383308, 89.892647, 16.385294, 24.561979, 151.864227, 18.518386, 22.996479
106, 629774.877230, 629774.877230, 71.521545, 89.925110, 16.590963, 24.254459, 151.766800, 18.582508, 22.764649
107, 629774.881233, 629774.881233, 71.825539, 89.840797, 16.613455, 24.610411, 153.322235, 18.505663, 23.221104
108, 629774.885634, 629774.885634, 72.138885, 89.721649, 16.698090, 24.561457, 152.194626, 18.692837, 23.079628
109, 629774.889213, 629774.889213, 72.272728, 89.761505, 16.778877, 24.363317, 151.091934, 18.826807, 22.817828
110, 629774.897229, 629774.897229, 72.492783, 89.678093, 17.083540, 24.657595, 152.104477, 19.001329, 23.211933
111, 629774.901192, 629774.901192, 72.613556, 89.614578, 17.097572, 24.745811, 152.430984, 18.996757, 23.319634
112, 629774.905178, 629774.905178, 72.853088, 89.694145, 17.207460, 24.334093, 151.187973, 19.101275, 22.877632
113, 629774.909241, 629774.909241, 73.273010, 89.644852, 17.141954, 24.652290, 151.335205, 19.132995, 23.141099
114, 629774.917225, 629774.917225, 73.463356, 89.592583, 17.248449, 24.762859, 152.775589, 19.067727, 23.390809
115, 629774.921214, 629774.921214, 73.673279, 89.630341, 17.305916, 24.783014, 151.842392, 19.224344, 23.326318
116, 629774.925905, 629774.925905, 73.861923, 89.651382, 17.616577, 24.791357, 151.223709, 19.515479, 23.325977
117, 629774.929249, 629774.929249, 74.031349, 89.609550, 17.687935, 24.854990, 150.497604, 19.667441, 23.320063
118, 629774.938790, 629774.938790, 74.227303, 89.502617, 17.767006, 24.550972, 150.184143, 19.663160, 23.060287
119, 629774.943055, 629774.943055, 74.555489, 89.618980, 17.494799, 24.961374, 151.280136, 19.474751, 23.449355
120, 629774.945425, 629774.945425, 74.865105, 89.625076, 17.993942, 24.799225, 149.724808, 19.944962, 23.259019
121, 629774.949674, 629774.949674, 75.001297, 89.535645, 18.039064, 24.958525, 150.311600, 19.959735, 23.450901
122, 629774.957234, 629774.957234, 75.188446, 89.514091, 18.093105, 24.818451, 149.728210, 20.017443, 23.294161
123, 629774.961890, 629774.961890, 75.336372, 89.584015, 18.128544, 25.007584, 147.753601, 20.325377, 23.257309
124, 629774.965300, 629774.965300, 75.746162, 89.471031, 18.115492, 24.834373, 149.429932, 20.070263, 23.283077
125, 629774.970387, 629774.970387, 75.902802, 89.543274, 18.256269, 24.801157, 150.185806, 20.073687, 23.354568
126, 629774.977533, 629774.977533, 76.053223, 89.523262, 18.330238, 24.769491, 149.909531, 20.143485, 23.318776
127, 629774.981963, 629774.981963, 76.182053, 89.408516, 18.648602, 25.000242, 150.255920, 20.396351, 23.596002
128, 629774.985522, 629774.985522, 76.482910, 89.464569, 18.783640, 24.919186, 149.775391, 20.512744, 23.516341
129, 629774.989279, 629774.989279, 76.576576, 89.435265, 18.698084, 24.952112, 148.640686, 20.580313, 23.423854
130, 629774.997768, 629774.997768, 76.897522, 89.452576, 18.499077, 24.940271, 148.274857, 20.483762, 23.337704
131, 629775.005674, 629775.005674, 77.348358, 89.482056, 19.020937, 25.070534, 147.880646, 20.909308, 23.518685
132, 629775.010859, 629775.010859, 77.465607, 89.535294, 18.999546, 25.083523, 148.455536, 20.841983, 23.574936
133, 629775.017374, 629775.017374, 77.465378, 89.534416, 18.983831, 25.258358, 147.734329, 20.964234, 23.640461
134, 629775.023090, 629775.023090, 76.584610, 89.112488, 19.023043, 25.339294, 148.835861, 20.902488, 23.812643
135, 629775.027093, 629775.027093, 75.015862, 88.425552, 18.661531, 24.889585, 149.453720, 20.452732, 23.439922
136, 629775.037111, 629775.037111, 73.271614, 87.675934, 18.256533, 25.078304, 150.196274, 20.157649, 23.577352
137, 629775.047458, 629775.047458, 68.542183, 85.063377, 16.337931, 24.826439, 161.402679, 17.391572, 24.100068
138, 629775.052950, 629775.052950, 67.347816, 84.298592, 16.079243, 24.471933, 160.499771, 17.218166, 23.684432
139, 629775.057576, 629775.057576, 66.250633, 83.705360, 15.691804, 24.572796, 160.869263, 16.871251, 23.778476
140, 629775.061341, 629775.061341, 65.129692, 82.888123, 15.470849, 24.151245, 163.387268, 16.354214, 23.562035
141, 629775.067056, 629775.067056, 64.341347, 82.193909, 15.200794, 24.541267, 162.978577, 16.213366, 23.884402
142, 629775.069712, 629775.069712, 63.834560, 81.737122, 15.070568, 24.335432, 164.593750, 15.902474, 23.800139
143, 629775.077358, 629775.077358, 63.059834, 81.088684, 15.021784, 24.276375, 165.218857, 15.790076, 23.783816
144, 629775.081263, 629775.081263, 62.403141, 80.363068, 14.754208, 24.293171, 165.373596, 15.538240, 23.799326
145, 629775.085214, 629775.085214, 61.954689, 79.672287, 14.654756, 24.254436, 165.156143, 15.468553, 23.743702
146, 629775.089172, 629775.089172, 61.735134, 79.372292, 14.474116, 24.360577, 166.936981, 15.136511, 23.954619
147, 629775.097213, 629775.097213, 62.056484, 79.727821, 14.687942, 24.439404, 163.751709, 15.671836, 23.820447
148, 629775.101188, 629775.101188, 62.219120, 79.834198, 15.087620, 24.576572, 165.562698, 15.843983, 24.095900
149, 629775.105550, 629775.105550, 62.361794, 79.927933, 15.105989, 24.830376, 165.198517, 15.922849, 24.314632
150, 629775.109185, 629775.109185, 62.417847, 79.952110, 15.065462, 24.852478, 165.382324, 15.869790, 24.346737
151, 629775.117177, 629775.117177, 62.576118, 80.149658, 15.279680, 24.687571, 165.282654, 16.054184, 24.191072
152, 629775.121168, 629775.121168, 62.867233, 80.302887, 15.327693, 24.978411, 166.004013, 16.052759, 24.518730
153, 629775.125179, 629775.125179, 62.959087, 80.436798, 15.317287, 25.014875, 164.706177, 16.181206, 24.464910
154, 629775.129214, 629775.129214, 62.983543, 80.518364, 15.360675, 25.256310, 165.309616, 16.180198, 24.739295
155, 629775.137201, 629775.137201, 63.146469, 80.734840, 15.434463, 24.666721, 165.397873, 16.178783, 24.185052
156, 629775.141407, 629775.141407, 63.237843, 80.831825, 15.398570, 24.970383, 165.268555, 16.189562, 24.464956
157, 629775.145208, 629775.145208, 63.424316, 80.973984, 15.673396, 24.743048, 164.868927, 16.450877, 24.233085
158, 629775.149210, 629775.149210, 63.525032, 81.031822, 15.975912, 24.756105, 164.521530, 16.754151, 24.236190
159, 629775.157256, 629775.157256, 63.607086, 81.156494, 15.845634, 24.810308, 164.524307, 16.644322, 24.281722
160, 629775.161219, 629775.161219, 63.778866, 81.429810, 15.816450, 25.224079, 163.824341, 16.736914, 24.622956
161, 629775.165186, 629775.165186, 63.874180, 81.478424, 15.652436, 25.272646, 164.511581, 16.524980, 24.710937
162, 629775.169197, 629775.169197, 64.030983, 81.626030, 15.577106, 25.278490, 165.275528, 16.378400, 24.766839
163, 629775.177232, 629775.177232, 64.280952, 81.882156, 15.861519, 25.008204, 164.143173, 16.718142, 24.443849
164, 629775.181182, 629775.181182, 64.360809, 82.074234, 15.883691, 25.056288, 163.330994, 16.828231, 24.431943
165, 629775.185238, 629775.185238, 64.502296, 82.178177, 16.018147, 25.226852, 162.896744, 17.012692, 24.567120
166, 629775.189195, 629775.189195, 64.600784, 82.393845, 16.020794, 25.165297, 162.875580, 17.009384, 24.507935
167, 629775.197240, 629775.197240, 64.747253, 82.610771, 16.085091, 25.047081, 163.008224, 17.035586, 24.410556
168, 629775.201302, 629775.201302, 64.802368, 82.706596, 16.086424, 25.009634, 162.143143, 17.124659, 24.310509
169, 629775.205214, 629775.205214, 65.013557, 83.056854, 16.184139, 25.071831, 160.266861, 17.427765, 24.223874
170, 629775.209218, 629775.209218, 65.153427, 83.096039, 16.407202, 25.224184, 160.807800, 17.574536, 24.425221
171, 629775.217309, 629775.217309, 65.350327, 83.346031, 16.115612, 24.995457, 162.018311, 17.161134, 24.289531
172, 629775.221180, 629775.221180, 65.500542, 83.600105, 16.254910, 25.080229, 161.307404, 17.369278, 24.321763
173, 629775.225493, 629775.225493, 65.567192, 83.682098, 16.200613, 25.024910, 161.516663, 17.292282, 24.283388
174, 629775.233689, 629775.233689, 65.704216, 83.771751, 16.219248, 25.006142, 161.333054, 17.325505, 24.252794
175, 629775.237226, 629775.237226, 65.854057, 83.995461, 16.261681, 25.159367, 160.201538, 17.513561, 24.304551
176, 629775.241534, 629775.241534, 65.964645, 84.111427, 16.295681, 25.044704, 159.473709, 17.607313, 24.140608
177, 629775.245187, 629775.245187, 66.090942, 84.411942, 16.254835, 25.399576, 160.521881, 17.509221, 24.551687
178, 629775.253197, 629775.253197, 66.238647, 84.577065, 16.351313, 25.342077, 160.213242, 17.615970, 24.479867
179, 629775.257231, 629775.257231, 66.309052, 84.686157, 16.427485, 25.117567, 160.075195, 17.657595, 24.268576
180, 629775.261222, 629775.261222, 66.392937, 84.808693, 16.496046, 25.007227, 161.130859, 17.580274, 24.257265
181, 629775.265583, 629775.265583, 66.508507, 84.992928, 16.297991, 25.048954, 161.100677, 17.423706, 24.279396
182, 629775.273221, 629775.273221, 66.792992, 85.203590, 16.548409, 25.229149, 159.988968, 17.785329, 24.372975
183, 629775.277227, 629775.277227, 66.795547, 85.301392, 16.568716, 25.184427, 160.008972, 17.792327, 24.335382
184, 629775.281186, 629775.281186, 66.914383, 85.397888, 16.762007, 24.889456, 159.774765, 17.928291, 24.062965
185, 629775.285180, 629775.285180, 66.938545, 85.540565, 16.549871, 25.145420, 159.344681, 17.846369, 24.242473
186, 629775.293191, 629775.293191, 66.437096, 85.055328, 16.590801, 25.064236, 159.987961, 17.793004, 24.225598
187, 629775.297198, 629775.297198, 65.347290, 84.035896, 16.024185, 25.092606, 161.108429, 17.200661, 24.301247
188, 629775.301184, 629775.301184, 64.201904, 82.781425, 15.672753, 25.036203, 162.432678, 16.743954, 24.332831
189, 629775.305181, 629775.305181, 63.250202, 81.892151, 15.139709, 24.707251, 164.747391, 15.987360, 24.167403
190, 629775.313217, 629775.313217, 62.584652, 81.123352, 14.679916, 24.410402, 165.756470, 15.444302, 23.934101
191, 629775.317426, 629775.317426, 62.102966, 80.486412, 14.851527, 24.532469, 165.225174, 15.664108, 24.021774
192, 629775.321203, 629775.321203, 61.609608, 79.834122, 14.416747, 24.496002, 166.995392, 15.089847, 24.087200
193, 629775.325208, 629775.325208, 61.558125, 79.326660, 14.498336, 24.157267, 166.988480, 15.136988, 23.762300
194, 629775.333248, 629775.333248, 61.686531, 79.272354, 14.678298, 24.312910, 167.609512, 15.256103, 23.954568
195, 629775.337203, 629775.337203, 61.848907, 79.620659, 15.086831, 24.204063, 167.130020, 15.664769, 23.834096
196, 629775.341227, 629775.341227, 61.879646, 79.859261, 14.779675, 24.334946, 165.993225, 15.502702, 23.880842
197, 629775.345283, 629775.345283, 61.974133, 79.979897, 15.021626, 24.326384, 166.243423, 15.695626, 23.897061
198, 629775.353196, 629775.353196, 62.054062, 80.057289, 15.006090, 24.343430, 164.908157, 15.814250, 23.826347
199, 629775.357210, 629775.357210, 62.158188, 80.372406, 14.999052, 24.367228, 165.895050, 15.712214, 23.913588
200, 629775.361199, 629775.361199, 62.198261, 80.573517, 15.014636, 24.188574, 164.230026, 15.874623, 23.633086
201, 629775.365192, 629775.365192, 62.283981, 80.572006, 14.940651, 24.463720, 165.367279, 15.721665, 23.969270
202, 629775.373165, 629775.373165, 62.343933, 80.748985, 14.968823, 24.402081, 165.045151, 15.773342, 23.889933
203, 629775.377961, 629775.377961, 62.399521, 80.750687, 14.990735, 24.141991, 165.733154, 15.699396, 23.687272
204, 629775.381251, 629775.381251, 62.479118, 80.905136, 14.943588, 24.228743, 166.123627, 15.627895, 23.793102
205, 629775.385183, 629775.385183, 62.644638, 81.152603, 14.722008, 24.234921, 165.981308, 15.442920, 23.782034
206, 629775.393212, 629775.393212, 62.696476, 81.373337, 14.808242, 24.356569, 165.210297, 15.609375, 23.851078
207, 629775.397211, 629775.397211, 62.836781, 81.431931, 14.891565, 24.184967, 162.775314, 15.924903, 23.517415
208, 629775.401418, 629775.401418, 62.921856, 81.742798, 15.035337, 24.207157, 164.340591, 15.883452, 23.659327
209, 629775.405198, 629775.405198, 63.001728, 81.855186, 15.026027, 24.392693, 164.021408, 15.929859, 23.812277
210, 629775.413180, 629775.413180, 63.016129, 81.863327, 14.987791, 24.317984, 163.488785, 15.945382, 23.701119
211, 629775.417154, 629775.417154, 63.013599, 82.003357, 15.030258, 24.395311, 164.089554, 15.926570, 23.819828
212, 629775.421211, 629775.421211, 63.097027, 82.093185, 15.144996, 24.200613, 163.981873, 16.015643, 23.633446
213, 629775.427594, 629775.427594, 63.221100, 82.323929, 15.270241, 24.101147, 163.923096, 16.119671, 23.541490
214, 629775.437499, 629775.437499, 63.238655, 82.488907, 15.113938, 23.943628, 163.714401, 15.985958, 23.370442
215, 629775.441495, 629775.441495, 63.407131, 82.717300, 15.072358, 24.428970, 163.638870, 16.015726, 23.821148
216, 629775.445175, 629775.445175, 63.493408, 82.851936, 15.120229, 24.335402, 163.456680, 16.065495, 23.721993
217, 629775.453179, 629775.453179, 63.687458, 83.138123, 14.974215, 23.818645, 163.123795, 15.910455, 23.203715
218, 629775.458442, 629775.458442, 63.750546, 83.279068, 15.016398, 24.032436, 161.951614, 16.102374, 23.318742
219, 629775.461974, 629775.461974, 63.862385, 83.328453, 14.828977, 24.090952, 161.790283, 15.971861, 23.348923
220, 629775.465157, 629775.465157, 63.825405, 83.383316, 15.022542, 23.982637, 162.485764, 16.041474, 23.313403
221, 629775.473202, 629775.473202, 63.988537, 83.628075, 15.089800, 23.962526, 162.783737, 16.064146, 23.320547
222, 629775.477245, 629775.477245, 64.056465, 83.677185, 14.933124, 24.090866, 161.912796, 16.045078, 23.365006
223, 629775.481184, 629775.481184, 64.078545, 83.774086, 14.855554, 24.338150, 161.610214, 16.052343, 23.565978
224, 629775.485156, 629775.485156, 64.105103, 83.794685, 15.034270, 24.045141, 161.571762, 16.162255, 23.301923
225, 629775.493192, 629775.493192, 64.133255, 83.811775, 14.963717, 24.165617, 161.609299, 16.116842, 23.412332
226, 629775.497243, 629775.497243, 63.972885, 83.298775, 15.110483, 23.871765, 161.780991, 16.177506, 23.161955
227, 629775.501350, 629775.501350, 63.810719, 82.385086, 15.131016, 23.839535, 163.761688, 15.983899, 23.276298
228, 629775.505181, 629775.505181, 63.884590, 82.150818, 15.324739, 24.275618, 165.211914, 16.060527, 23.795225
229, 629775.513213, 629775.513213, 64.047325, 82.539513, 15.402828, 23.988537, 163.583481, 16.256087, 23.418724
230, 629775.517185, 629775.517185, 64.057861, 82.705849, 15.284600, 24.036655, 163.276382, 16.189966, 23.436398
231, 629775.521177, 629775.521177, 64.018349, 82.916924, 15.220263, 24.433363, 163.044815, 16.208821, 23.789068
232, 629775.525221, 629775.525221, 64.084244, 82.879982, 15.261108, 23.938225, 162.579132, 16.229266, 23.292724
233, 629775.533239, 629775.533239, 64.066322, 82.895088, 15.158293, 24.236980, 162.475601, 16.192654, 23.558501
234, 629775.537253, 629775.537253, 64.100304, 83.078056, 15.175625, 23.961983, 163.259079, 16.088224, 23.359051
235, 629775.541638, 629775.541638, 64.102158, 83.124214, 15.161040, 24.110643, 163.842514, 16.033536, 23.539455
236, 629775.545186, 629775.545186, 64.164017, 83.422531, 15.192183, 23.976582, 162.436508, 16.190553, 23.314049
237, 629775.553207, 629775.553207, 64.189484, 83.388649, 15.198329, 24.181517, 162.939835, 16.169007, 23.543538
238, 629775.557803, 629775.557803, 64.220833, 83.438332, 15.230915, 23.962563, 163.799667, 16.081641, 23.400129
239, 629775.562308, 629775.562308, 64.202271, 83.494499, 15.191202, 23.872385, 162.185410, 16.202264, 23.198061
240, 629775.565420, 629775.565420, 64.161263, 83.569786, 15.172353, 23.850538, 162.003143, 16.202696, 23.162925
